gen	nevals	avg    	min    	max    	std    
0  	60    	30.8638	2.91167	471.109	71.4857
1  	38    	81.8121	2.77197	469.195	110.083
2  	31    	176.155	2.90687	469.195	168.629
3  	29    	476.705	3.01733	3,428.4	528.263
4  	30    	656.404	2.9362 	2,558.65	694.868
5  	43    	1,020.08	2.88306	4,637.58	1,178.1
6  	43    	1,844.66	2.88723	10,001.5	2,019.15
7  	37    	3,134.35	2.97483	10,001.5	2,958.72
8  	42    	4,254.32	2.7798 	10,001.5	3,888.42
9  	29    	7,175.8 	5.89338	10,001.5	4,182.83
10 	35    	5,757.75	2.90955	10,001.5	4,505.16
11 	29    	7,779.47	2.89067	10,001.5	3,817.24
12 	36    	6,275.18	4.82034	10,001.5	4,476.94
